Date,Stock,close_price
2020-07-01,EMBR3.SA,8.100000381469728
2020-07-01,KLBN11.SA,20.799999237060547
2020-07-01,MRFG3.SA,12.369999885559082
2020-07-01,ELET6.SA,33.650001525878906
2020-07-01,BEEF3.SA,12.84000015258789
2020-07-01,ECOR3.SA,13.699999809265135
2020-07-01,CMIG4.SA,10.728699684143066
2020-07-01,GOLL4.SA,19.020000457763672
2020-07-01,FLRY3.SA,24.920000076293945
2020-07-01,JBSS3.SA,20.88999938964844
2020-07-01,MULT3.SA,20.950000762939453
2020-07-01,GGBR4.SA,15.479999542236328
2020-07-01,BBSE3.SA,27.70000076293945
2020-07-01,BRAP4.SA,35.439998626708984
2020-07-01,HYPE3.SA,33.150001525878906
2020-07-01,RAIL3.SA,22.96999931335449
2020-07-01,NTCO3.SA,40.27999877929688
2020-07-01,GNDI3.SA,68.27999877929689
2020-07-01,IGTA3.SA,34.209999084472656
2020-07-01,RADL3.SA,23.194000244140625
2020-07-01,HAPV3.SA,62.9900016784668
2020-07-01,SUZB3.SA,37.13999938964844
2020-07-01,ABEV3.SA,14.359999656677244
2020-07-01,BRKM5.SA,23.959999084472656
2020-07-01,RENT3.SA,42.349998474121094
2020-07-01,CIEL3.SA,4.869999885559082
2020-07-01,BBDC3.SA,19.280000686645508
2020-07-01,BRML3.SA,10.390000343322754
2020-07-01,LAME4.SA,32.59000015258789
2020-07-01,PRIO3.SA,34.5
2020-07-01,PETR4.SA,21.709999084472656
2020-07-01,TIMP3.SA,14.470000267028807
2020-07-01,SANB11.SA,28.46999931335449
2020-07-01,SULA11.SA,46.4000015258789
2020-07-01,PETR3.SA,22.36000061035156
2020-07-01,VALE3.SA,54.540000915527344
2020-07-01,MGLU3.SA,72.30000305175781
2020-07-01,USIM5.SA,7.3400001525878915
2020-07-01,ELET3.SA,32.61999893188477
2020-07-01,HGTX3.SA,14.729999542236328
2020-07-01,B3SA3.SA,56.02999877929688
2020-07-01,VVAR3.SA,15.989999771118164
2020-07-01,CPFE3.SA,30.809999465942386
2020-07-01,AZUL4.SA,20.670000076293945
2020-07-01,PCAR3.SA,72.62999725341797
2020-07-01,EGIE3.SA,42.84000015258789
2020-07-01,BRDT3.SA,21.799999237060547
2020-07-01,YDUQ3.SA,34.40999984741211
2020-07-01,BTOW3.SA,112.0199966430664
2020-07-01,COGN3.SA,6.96999979019165
2020-07-01,UGPA3.SA,18.799999237060547
2020-07-01,CYRE3.SA,24.56999969482422
2020-07-01,LREN3.SA,41.43000030517578
2020-07-01,CRFB3.SA,19.940000534057614
2020-07-01,EQTL3.SA,23.95000076293945
2020-07-01,CCRO3.SA,14.979999542236328
2020-07-01,CSAN3.SA,74.94000244140625
2020-07-01,TOTS3.SA,23.75
2020-07-01,WEGE3.SA,52.59000015258789
2020-07-01,ENGI11.SA,48.349998474121094
2020-07-01,CVCB3.SA,19.09000015258789
2020-07-01,GOAU4.SA,7.070000171661378
2020-07-01,EZTC3.SA,42.36999893188477
2020-07-01,BBDC4.SA,21.15999984741211
2020-07-01,IRBR3.SA,9.441169738769533
2020-07-01,ITUB4.SA,26.10000038146973
2020-07-01,BPAC11.SA,76.4000015258789
2020-07-01,SBSP3.SA,58.9000015258789
2020-07-01,CSNA3.SA,10.59000015258789
2020-07-01,MRVE3.SA,18.739999771118164
2020-07-01,TAEE11.SA,28.5
2020-07-02,HYPE3.SA,32.200000762939446
2020-07-02,ITSA4.SA,9.949999809265137
2020-07-02,HAPV3.SA,60.72999954223633
2020-07-02,BEEF3.SA,12.8100004196167
2020-07-02,UGPA3.SA,18.63999938964844
2020-07-02,HGTX3.SA,14.5600004196167
2020-07-02,GGBR4.SA,15.779999732971193
2020-07-02,FLRY3.SA,24.649999618530273
2020-07-02,EZTC3.SA,42.22999954223633
2020-07-02,IGTA3.SA,33.669998168945305
2020-07-02,ITUB4.SA,26.54999923706055
2020-07-02,IRBR3.SA,8.285289764404299
2020-07-02,EQTL3.SA,23.61000061035156
2020-07-02,GNDI3.SA,65.5
2020-07-02,ENGI11.SA,47.43999862670898
2020-07-02,ENBR3.SA,17.649999618530273
2020-07-02,BBSE3.SA,27.53000068664551
2020-07-02,TOTS3.SA,24.1299991607666
2020-07-02,GOLL4.SA,18.8700008392334
2020-07-02,TIMP3.SA,14.550000190734865
2020-07-02,JBSS3.SA,21.299999237060547
2020-07-02,VIVT4.SA,48.04999923706055
2020-07-02,BBAS3.SA,33.15999984741211
2020-07-02,USIM5.SA,7.3499999046325675
2020-07-02,BBDC4.SA,21.209999084472656
2020-07-02,YDUQ3.SA,34.200000762939446
2020-07-02,VVAR3.SA,15.390000343322756
2020-07-02,BPAC11.SA,79.0
2020-07-02,WEGE3.SA,53.56999969482422
2020-07-02,BBDC3.SA,19.43000030517578
2020-07-02,VALE3.SA,55.4900016784668
2020-07-02,AZUL4.SA,20.76000022888184
2020-07-02,EMBR3.SA,8.170000076293945
2020-07-02,ABEV3.SA,14.170000076293945
2020-07-02,KLBN11.SA,20.71999931335449
2020-07-02,GOAU4.SA,7.230000019073486
2020-07-02,B3SA3.SA,56.20000076293945
2020-07-02,LAME4.SA,31.20000076293945
2020-07-02,BRAP4.SA,35.959999084472656
2020-07-02,BRML3.SA,10.300000190734863
2020-07-02,SBSP3.SA,57.59000015258789
2020-07-02,CIEL3.SA,4.849999904632568
2020-07-02,ELET6.SA,33.419998168945305
2020-07-02,CSNA3.SA,10.859999656677246
2020-07-02,CCRO3.SA,14.869999885559082
2020-07-02,SUZB3.SA,36.81999969482422
2020-07-02,ECOR3.SA,13.850000381469727
2020-07-02,PETR3.SA,22.63999938964844
